x1,y1,z1,bp0,bp1,id,generation,length,diameter,name,InArea,OutArea,InPeri,OutPeri
233.105554,192.773508,109,13,25,26,4,20.0665,4.68106,LB1,17.2099,51.5871,15.0332,25.8296
241.308682,194.140696,120,13,24,25,4,11.6023,4.3271,LB2,14.7056,42.9439,14.3007,23.7939
234.472742,180.468816,127,8,12,14,3,8.13505,5.53273,LB3,24.0419,64.8818,18.1185,29.1455
239.2579,185.937568,148,9,14,16,4,12.1529,6.74546,LB4,35.7366,83.878,21.8179,32.8994
245.410246,187.304756,165,9,15,17,4,26.6044,4.98292,LB5,19.501,54.8499,16.4988,27.025
221.484456,215.33211,145,6,309,11,3,10.9988,6.3725,LB6,31.894,78.0074,20.5158,31.6827
235.83993,209.863358,165.5,10,16,18,4,10.541,5.64992,LB8,25.0712,66.4069,18.6301,29.5175
233.789148,216.699298,162,17,30,34,4,1.62622,3.87449,LB9,11.7901,32.9681,12.1721,20.3541
230.371178,228.320396,169.5,17,54,33,4,15.425,5.64654,LB10,25.0412,66.3708,18.0361,29.1386
123.04692,188.671944,118.5,7,19,22,3,14.7269,5.92432,RB1,27.5656,70.2046,19.334,30.2674
121.679732,200.293042,128.5,7,11,12,3,12.9251,4.96717,RB2,19.3779,39.9506,15.6048,22.4061
122.363326,181.836004,134,7,20,13,3,14.9033,7.28738,RB3,41.7093,93.6456,23.4192,34.6563
119.62895,177.050846,177.5,39,185,77,4,11.0384,4.36699,RB4,14.978,41.9388,14.6153,23.7898
123.04692,174.31647,174.5,39,63,76,4,8.58634,3.93139,RB5,12.139,38.8661,12.7969,22.4279
132.617236,203.711012,163,38,62,75,3,6.61245,4.45774,RB6,15.607,50.0894,14.8026,25.6514
132.617236,195.507884,181.5,88,122,144,4,14.9157,4.03823,RB7,12.8077,45.6027,12.9893,24.1348
116.21098,205.0782,182.5,121,139,161,5,13.3448,5.01625,RB8,19.7628,55.871,16.2842,26.8386
118.261762,216.015704,187.5,140,155,173,5,10.1361,5.53209,RB9,24.0363,64.4466,17.7462,28.7221
126.46489,214.648516,183.5,140,156,174,5,3.91544,5.37875,RB10,22.7223,59.1793,17.671,28.1152
